Date,Liturgical_Day,Season,Morning_Psalm_Ref,Morning_OT_Ref,Morning_NT_Ref,Evening_Psalm_Ref,Evening_OT_Ref,Evening_NT_Ref,Omit_Venite,Morning_Canticle_A,Collect_Of_Day_Text
2025-07-25,St. James the Apostle,Trinity,,,,,,,FALSE,,
2025-07-26,,Trinity,,,,,,,False,,
2025-07-27,Sixth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-07-28,,Trinity,,,,,,,False,,
2025-07-29,,Trinity,,,,,,,False,,
2025-07-30,,Trinity,,,,,,,False,,
2025-07-31,,Trinity,,,,,,,False,,
2025-08-01,,Trinity,,,,,,,False,,
2025-08-02,,Trinity,,,,,,,False,,
2025-08-03,Seventh Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-08-04,,Trinity,,,,,,,False,,
2025-08-05,,Trinity,,,,,,,False,,
2025-08-06,The Transfiguration of Christ,Trinity,,,,,,,FALSE,,
2025-08-07,,Trinity,,,,,,,False,,
2025-08-08,,Trinity,,,,,,,False,,
2025-08-09,,Trinity,,,,,,,False,,
2025-08-10,Eighth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-08-11,,Trinity,,,,,,,False,,
2025-08-12,,Trinity,,,,,,,False,,
2025-08-13,,Trinity,,,,,,,False,,
2025-08-14,,Trinity,,,,,,,False,,
2025-08-15,St. Mary the Virgin,Trinity,,,,,,,FALSE,,
2025-08-16,,Trinity,,,,,,,False,,
2025-08-17,Ninth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-08-18,,Trinity,,,,,,,False,,
2025-08-19,,Trinity,,,,,,,False,,
2025-08-20,,Trinity,,,,,,,False,,
2025-08-21,,Trinity,,,,,,,False,,
2025-08-22,,Trinity,,,,,,,False,,
2025-08-23,,Trinity,,,,,,,False,,
2025-08-24,St. Bartholomew the Apostle,Trinity,,,,,,,FALSE,,
2025-08-25,,Trinity,,,,,,,False,,
2025-08-26,,Trinity,,,,,,,False,,
2025-08-27,,Trinity,,,,,,,False,,
2025-08-28,,Trinity,,,,,,,False,,
2025-08-29,,Trinity,,,,,,,False,,
