Sunday,Office,Service,Psalms,FirstLesson,SecondLesson
WHITSUNDAY,Evening,Communion,48; 122,Isa. 11:1-9,John 6:53-69
TRINITY SUNDAY,Morning,Communion,29; 99,*Isa. 6:1-8,1 Pet. 1:1-12
TRINITY SUNDAY,Evening,Communion,98; 100,Exod. 34:1-10,Eph. 4:1-16
TRINITY SUNDAY,Morning,Prayer,33,Gen. 1:1-2:3,John 1:1-18
TRINITY SUNDAY,Evening,Prayer,148; 150,"Job 38:1-11, 16-18; 42:1-6",John 1:29-34
FIRST SUNDAY AFTER TRINITY,Morning,Communion,73,*Jer. 23:23-32,"Matt. 7:13-14, 21-29"
FIRST SUNDAY AFTER TRINITY,Evening,Communion,119:33-48,Deut. 30:11-20,"John 13:1-17, 34-35"
FIRST SUNDAY AFTER TRINITY,Morning,Prayer,89:1-19,"Isa. 5:8-12, 18-24",Jam. 5
FIRST SUNDAY AFTER TRINITY,Evening,Prayer,49,Job 21:17-33,Luke 16:19-31
SECOND SUNDAY AFTER TRINITY,Morning,Prayer,15; 19,Job 31:13-28,1 Cor. 13
SECOND SUNDAY AFTER TRINITY,Evening,Prayer,112; 113,"1 Sam. 20:1-7, 12-42",1 Pet. 1:17-25
SECOND SUNDAY AFTER TRINITY,Morning,Communion,76; 125,*Deut. 20:1-9,Luke 9:57-62
SECOND SUNDAY AFTER TRINITY,Evening,Communion,138; 146,2 Ki. 4:8-17,Luke 14:12-24
THIRD SUNDAY AFTER TRINITY,Morning,Communion,145,*Jer. 31:1-14,Matt. 9:9-13
THIRD SUNDAY AFTER TRINITY,Evening,Communion,32; 36:5-end,Jer. 23:1-8,Luke 19:2-10
THIRD SUNDAY AFTER TRINITY,Morning,Prayer,25,"Prov. 16:18-24, 32",Phil. 1:27-2:4
THIRD SUNDAY AFTER TRINITY,Evening,Prayer,103,Ezek. 34:20-24,Luke 15:1-10
FOURTH SUNDAY AFTER TRINITY,Morning,Communion,91,*Lam. 3:22-33,Matt. 10:24-39
FOURTH SUNDAY AFTER TRINITY,Evening,Communion,51,Isa. 29:9-15,Matt. 15:1-20
