Sunday,Identifier,Morning,Unnamed: 3,Unnamed: 4,Evening,Unnamed: 6,Unnamed: 7
,Communion = 1; Prayer = 2,Psalms,First Lesson,Second Lesson,Psalms,First Lesson,Second Lesson
,,,,,,,
THIRD SUNDAY AFTER TRINITY,1,145,*Jer. 31:1-14,Matt. 9:9-13,32; 36:5-end,Jer. 23:1-8,Luke 19:2-10
,2,25,"Prov. 16:18-24, 32",Phil. 1:27-2:4,103,Ezek. 34:20-24,Luke 15:1-10
,,,,,,,
FOURTH SUNDAY AFTER TRINITY,1,91,*Lam. 3:22-33,Matt. 10:24-39,51,Isa. 29:9-15,Matt. 15:1-20
,2,75; 82,"Deut. 32:1-4, 34-39",Rom. 2:1-16,139,"Prov. 27:1-6, 10-12",Luke 6:36-42
,,,,,,,
FIFTH SUNDAYAFTER TRINITY,1,62; 63,"*Eccl. 2:1-11, 18-23",Matt. 19:16-30,66,"Prov. 3:1-7, 11-12",Luke 14:25-35
,2,34,"Prov. 15:1-10, 26",Jam. 3,65,Judg. 6:11-23 ,Luke 5:1-11 
,,,,,,,
SIXTH SUNDAY AFTER TRINITY,2,85,2 Sam. 19:16-23,Matt. 5:38-48,57; 130,"Exod. 24:1-11, 16-18",Heb. 9:18-28
,1,16; 111,*Isa. 57:13b-19,2 Tim. 2:7-13,94,Gen. 4:1-16,Matt. 5:20-26
,,,,,,,
SEVENTH SUNDAY AFTER TRINITY,1,18:1-20,*Hos. 14,Rom. 6:12-18,50,"Dan. 5:1-9, 13-30","Rom. 1:17-21, 28-32"
,2,133; 134; 138,2 Ki. 22,John 15:12-27,116,Mic. 7:14-20,Mark 8:1-21
,,,,,,,
EIGHTH SUNDAY AFTER TRINITY,1,119:33-48,*Prov. 1:1-9,John 7:14-24,25,Gen. 18:20-33,Luke 10:38-42
,2,126; 127,Zech. 4:1-10,Gal. 3:24-4:7,92,Prov. 11:24-31 ,Matt. 7:15-21 
,,,,,,,
NINTH SUNDAY AFTER TRINITY,2,115,Ezek. 14:1-11,1 Thes. 4:1-12,119:9-24,"Prov. 4:1-4, 20-27",Heb. 12:1-13
,1,103,*Prov. 8:1-21,John 8:1-11,51,Lam. 3:40-58 ,Luke 15:11-32 
,,,,,,,
TENTH SUNDAY AFTER TRINITY,1,145,*Josh. 24:14-24,John 8:25-36,15; 46,"Isa. 44:1-8, 21-23",Rom. 12:1-9
,2,147,"Jer. 26:1-7, 10-15",Matt. 23:34-39,42; 43,Lam. 1:1-12 ,Luke 19:41-48 
,,,,,,,
